variable_name,dataset,code_list,definition,,
budget_cpp_dstb,Budget,,"Average cost of drugs budgeted per patient for drug-susceptible TB treatment, excluding buffer stock (US Dollars)"
budget_cpp_mdr,Budget,,"Average cost of drugs budgeted per patient for MDR-TB treatment, excluding buffer stock (US Dollars)"
budget_cpp_xdr,Budget,,"Average cost of drugs budgeted per patient for XDR-TB treatment, excluding buffer stock (US Dollars)"
budget_fld,Budget,,Budget required for drugs to treat drug-susceptible TB (US Dollars)
budget_lab,Budget,,"Budget required for laboratory infrastructure, equipment and supplies (US Dollars)"
budget_mdrmgt,Budget,,Budget required for programme costs to treat drug-resistant TB (US Dollars)
budget_orsrvy,Budget,,Budget required for operational research and surveys (US Dollars)
budget_oth,Budget,,Budget required for all other budget line items (US Dollars)
budget_patsup,Budget,,Budget required for patient support (US Dollars),,change,yank,yank,yank,yank,yank
budget_prog,Budget,,Budget required for programme costs to treat drug-susceptible TB (US Dollars)
budget_sld,Budget,,Budget required for drugs to treat drug-resistant TB (US Dollars)
budget_staff,Budget,,Budget required for National TB Programme staff (central unit staff and subnational TB staff)  (US Dollars)
budget_tbhiv,Budget,,Budget required for collaborative TB/HIV activities (US Dollars)
budget_tot,Budget,,Total budget required (US Dollars)
cf_fld,Budget,,Expected funding for drugs to treat drug-susceptible TB (US Dollars)
cf_lab,Budget,,"Expected funding for laboratory infrastructure, equipment and supplies (US Dollars)"
cf_mdrmgt,Budget,,Expected funding for programme costs to treat drug-resistant TB (US Dollars)
cf_orsrvy,Budget,,Expected funding for operational research and surveys (US Dollars)
cf_oth,Budget,,Expected funding for all other budget line items (US Dollars)
cf_patsup,Budget,,Expected funding for patient support (US Dollars)
cf_prog,Budget,,Expected funding for programme costs to treat drug-susceptible TB (US Dollars)
cf_sld,Budget,,Expected funding for drugs to treat drug-resistant TB (US Dollars)
cf_staff,Budget,,Expected funding for National TB Programme staff (central unit staff and subnational TB staff)  (US Dollars)
cf_tbhiv,Budget,,Expected funding for collaborative TB/HIV activities (US Dollars)
cf_tot,Budget,,Total expected funding for all budget line items (US Dollars)
